TenureGroup,Complain,用户数,流失人数,流失率,平均订单数,平均距上次下单天数,样本提示
中期用户(13-24月),0,1053,43,0.04083570750237417,3.8461538461538463,5.43019943019943,可观察
中期用户(13-24月),1,414,52,0.12560386473429952,3.345410628019324,5.028985507246377,可观察
新用户(0-6月),0,1491,322,0.215962441314554,2.4292421193829643,3.867203219315895,可观察
新用户(0-6月),1,659,375,0.5690440060698028,2.6479514415781487,3.5569044006069803,可观察
短期用户(7-12月),0,1178,75,0.0636672325976231,2.775042444821732,4.417657045840407,可观察
短期用户(7-12月),1,406,81,0.19950738916256158,2.667487684729064,4.278325123152709,可观察
长期用户(25月+),0,304,0,0.0,3.7467105263157894,5.3980263157894735,可观察
长期用户(25月+),1,125,0,0.0,3.056,4.912,可观察
