生命周期阶段,用户数,流失人数,流失率,平均订单数,平均距上次下单天数,平均满意度
新用户(0-6月),2150,697,0.3241860465116279,2.496279069767442,3.772093023255814,3.1116279069767443
短期用户(7-12月),1584,156,0.09848484848484848,2.7474747474747474,4.381944444444445,2.98989898989899
中期用户(13-24月),1467,95,0.06475800954328562,3.704839809134288,5.316973415132924,3.087934560327198
长期用户(25月+),429,0,0.0,3.5454545454545454,5.256410256410256,3.0536130536130535
